id,Key,Page,Body,Heading,Image,Order,Visible,Section type,Eyebrow,Subheading,Image alt text,Button text,Button URL,Heading size,Subheading size,Body size,Alignment,Background style,Columns,Image size,Image fit,Button size,Space above,Space below,Grid source,Image position,Button visible,Group key,Image caption
,orders-products,orders,Choose a category or search the full catalogue. Your basket is saved on this device until checkout.,Browse the range,,20,True,Grid,,,,,,Large,,Medium,Left,Default,3,,,,Small,Large,Products,,,,
,checkout-information,checkout,Existing members can verify their secure weekly link. New visitors can enter an email address and receive information about becoming a member.,How checkout works,,10,True,Text,,,,,,Large,,Medium,Left,Default,,,,,Small,Large,,,,,
