id,Key,Page,Body,Heading,Image,Order,Visible,Section type,Eyebrow,Subheading,Image alt text,Button text,Button URL,Heading size,Subheading size,Body size,Alignment,Background style,Columns,Image size,Image fit,Button size,Space above,Space below,Grid source,Image position,Button visible,Group key,Image caption
1,how-1,home,Become a member and commit to a weekly BACS payment of £10 or more. Unspent credit rolls over and payments can be paused for holidays. Predictable demand gives growers the confidence to plan and expand.,1. Move £10 a week from your supermarket shop to us,864e1c8b34747550d55922b788c398a4.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/Lr0d5kBNOzHrRXN5DSzR1QItKbVvM2u7_902059a39740771e9c7d9c594dde4296e5bdcab2d2fefb115a7d12683d86d567.png),10,True,,,,,,,,,,,,,,,,,,,,False,how-it-works,
2,how-2,home,"Members receive a weekly order form. We sell organic cupboard staples at supermarket prices or less, alongside local seasonal produce harvested close to collection. Our non-profit prices cover operating costs and fair payment to producers.",2. Buy local produce and organic cupboard staples at fair prices,,20,True,,,,,,,,,,,,,,,,,,,,False,how-it-works,
3,how-3,home,"Local producers, volunteers and retailers coordinate harvesting, packing and deliveries, making it easier to redirect everyday food spending into the local economy.",3. Collect from your nearest pick-up point,495347900_1243131877818611_4207696850851040196_n.jpg (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/5FeRtgaavA0CkfvJt3bKdfxRyZd1fYEk_509c327a9ae941a950d7be745f89489aa4bc8ac0fcb0ebcdc4db4b4ab6768f9d.jpg),30,True,,,,,,,,,,,,,,,,,,,,False,how-it-works,
4,why,cupboard-staples,"We stock a core range of affordable organic staples so members always have something useful to spend their weekly commitment on, even when seasonal produce is limited. That weekly habit creates reliable demand growers can plan around.",Why we sell cupboard staples,,10,True,,,,,,,,,,,,,,,,,,,,False,,
5,prices,cupboard-staples,"As far as possible, we aim to match supermarket own-brand organic prices. Large wholesale orders and practical support from local retailers and residents keep costs low, while local producers use the distribution system without platform fees.",How we set member prices,,20,True,,,,,,,,,,,,,,,,,,,,False,,
6,infinity,cupboard-staples,"Our staples are purchased in bulk from Infinity Foods, a wholefoods workers’ co-operative based in Brighton. At around 25 members spending £10 a week, orders can qualify for their strongest wholesale discount.",Infinity Foods Wholesale,,30,True,,,,,,,,,,,,,,,,,,,,False,,
7,local,fresh-produce,"Rooted Commons exists to connect residents with nearby growers and retailers through shared ordering, collection and delivery infrastructure. As the network grows, we hope to add local milk, eggs, bread and charcoal.",Making local food easier to buy,,10,True,,,,,,,,,,,,,,,,,,,,False,,
8,intro,volunteering,"Whether you want to learn how to grow food, spend more time in nature or support local producers directly, there are practical ways to take part.",Take part in your growing local food network,,10,True,,,,,,,,,,,,,,,,,,,,False,,
